,pred
0,383697.88769091613
1,2279652.7524012118
2,537952.8544825829
3,352324.62969942536
4,602369.3704572322
5,596627.556859359
6,506863.2020341304
7,184617.56951315817
8,1339513.2400069772
9,476268.08514956024
10,880465.8372490143
11,611240.4266458156
12,820130.1089762717
13,415895.80908052705
14,1055016.1679547192
15,828346.8212232429
16,454151.4473304495
17,347077.3341712194
18,1726209.2495881163
19,1119037.1370074884
20,455796.50893968384
21,454644.22797876096
22,297999.44765982206
23,416802.86513829697
24,1226182.8262449105
25,1860665.8570708348
26,412476.67983252526
27,460635.7727665934
28,660260.1265941126
29,540371.2833931297
30,567108.3531245135
31,609653.011265601
32,604653.214547805
33,780700.260383616
34,465272.2910592634
35,1216748.0333071002
36,179192.8723911381
37,499422.257699657
38,752353.2033265793
39,305569.13592363405
40,222279.66473043768
41,204157.89275248133
42,625982.6484322839
43,1241149.7927550348
44,797509.3127375618
45,1311731.2020978134
46,1101431.628582969
47,749494.0468705177
48,615993.0335687096
49,522395.47096858267
50,340784.752258166
51,564739.6905363852
52,793749.3183652703
53,218817.0138272053
54,617238.4202694822
55,703688.3749584353
56,400893.9958763186
57,1349394.2013932331
58,415449.39941050496
59,598989.458186396
60,547734.1305033079
61,813961.6223486336
62,680758.0606923532
63,786047.5191869847
64,655735.1111021948
65,489395.9746366509
66,2683809.8758173366
67,1759688.4535372625
68,530556.7487007675
69,215976.9207116138
70,297006.4679475998
71,151151.9795508129
72,248562.25286971967
73,445627.0253830918
74,333479.297272276
75,1204243.6966309485
76,429026.6928251931
77,990673.050176892
78,292955.0239890058
79,385865.9412534232
80,201180.26169517214
81,749799.9441169847
82,660621.4010792596
83,1769519.188710554
84,673021.0135184422
85,187856.0837948391
86,408876.14037815947
87,353054.94719704764
88,842515.8534130575
89,1129947.1378794916
90,1288371.0466493987
91,505504.172533502
92,269381.409009793
93,358989.4622334277
94,374530.6282686384
95,474877.2889090404
96,408876.14037815947
97,533038.8527799059
98,755429.135136441
99,1633082.8332424364
100,1873585.282470835
101,907454.5404085864
102,531500.8000793826
103,474015.121509527
104,1554178.3573062797
105,1127972.93480412
106,1049120.2006860762
107,787524.0752443328
108,374224.1727733241
109,393394.40946620435
110,444139.7869858764
111,683110.5054939084
112,316686.2436713779
113,493326.57117862836
114,260971.36717027606
115,655187.9591801027
116,808795.8724799427
117,505743.28887924965
118,2448370.190414529
119,1034724.3848617758
120,848107.0588194302
121,1171708.2005788065
122,572884.2644398133
123,756347.4236350734
124,955094.3341707382
125,800640.0760552377
126,405364.6625535349
127,875487.9172431149
128,835159.6638911752
129,503218.8303358664
130,515158.40677110845
131,1885187.188710554
132,971950.2478753997
133,637983.326060155
134,1014525.2118432714
135,793179.9469171243
136,1201544.0333071002
137,847427.2888186028
138,1503968.9242857697
139,238744.31192507892
140,273179.9391480913
141,479333.17037064483
142,436444.20059561695
143,292747.57915447187
144,241988.61140845978
145,950679.1727488196
146,780374.4549716313
147,767926.8627458623
148,222279.66473043768
149,303151.714268632
150,506287.11656116665
151,197572.5336723228
152,392899.9011442653
153,250898.3097543824
154,547857.9822199376
155,301419.2523521743
156,396001.61028499005
157,471137.33403188107
158,695805.359188521
159,553834.1482956375
160,509045.48725676053
161,662199.2318497194
162,705256.376699754
163,497630.8808582314
164,454892.69138777937
165,286514.16545456636
166,200521.9265773798
167,287432.8873340202
168,326726.1462431907
169,446445.4836183843
170,508468.7684210434
171,401708.1702776336
172,1553488.7164061214
173,797896.8025730876
174,626304.3543656585
175,710023.2820790565
176,510934.68017113366
177,658872.9136428102
178,408870.3581424474
179,407415.11346343294
180,278481.6096959493
181,851976.3622062353
182,423358.94196194323
183,675811.4771389514
184,310510.3590985921
185,640949.7197281366
186,1562888.734251244
187,317574.12831024703
188,845041.546755501
189,713205.4576476088
190,425806.8317130684
191,398034.51681669196
192,313868.0642556426
193,279290.0052296977
194,702025.2451355594
195,552429.325940886
196,851127.7179778742
197,347139.31266482227
198,371344.6306725972
199,667322.2397039477
200,724371.5997350471
201,596441.2882170663
202,527317.1742889729
203,622424.6117691904
204,248928.70779879196
205,1092021.0862409603
206,935981.633886076
207,349716.8940261839
208,1361329.4791421173
209,513436.1624107049
210,1432539.0734723916
211,484864.2532456888
212,605942.0362181889
213,487544.6199165706
214,649413.2597309103
215,212965.21930595313
216,1153792.5491123341
217,391416.6714228278
218,540201.4961276209
219,951102.3151327267
220,774254.1766222024
221,664045.0685069724
222,504483.93766548065
223,971512.7771474158
224,432361.52646265324
225,398357.836840119
226,873336.2675655973
227,950805.5594862836
228,606959.2663788035
229,1303764.9280431168
230,400972.7378501198
231,399842.00987501146
232,540832.2967834586
233,799539.5388792474
234,808062.8519334778
235,1049645.9160712282
236,384126.42751006247
237,1011557.8662588153
238,269388.26951955416
239,507969.24746744696
240,306395.62096168456
241,545218.6141958311
242,1762512.5162423865
243,426155.8145655934
244,633709.4202694822
245,2272330.4683116754
246,577972.7846861441
247,393729.7604978938
248,448822.74254435947
249,1517983.221802433
250,835278.2149579328
251,602555.3172980801
252,281391.7012819878
253,2842041.799344692
254,545750.4784773076
255,695331.7559225259
256,848637.5013476263
257,382718.54771056713
258,481545.64064403716
259,990194.50212374
260,679981.0540384823
261,590606.3521752768
262,347727.44129959476
263,443337.85053030134
264,968180.7140607622
265,468982.32240376907
266,2011128.6792252504
267,1008589.3603081426
268,630372.9949013945
269,839881.1453937817
270,693168.1780536851
271,685623.77956386
272,425018.46073634404
273,793452.8443404624
274,408876.14037815947
275,487119.09739976836
276,571463.2686516168
277,408876.14037815947
278,117267.00487399593
279,383576.2631155704
280,634889.8519590851
281,769388.7253925144
282,1391167.593221717
283,1105688.7857328712
284,309812.87339041743
285,243383.09432318495
286,878288.1066539135
287,498364.1319485252
288,1097458.819334612
289,291951.4136468668
290,696634.3093967518
291,524614.5765726534
292,916248.4344423298
293,867256.7138306402
294,577874.9677333877
295,946748.6895439036
296,401201.1061780932
297,272599.2582966276
298,769196.0606761986
299,1616095.8533927666
300,464290.1012054972
301,891366.6966948726
302,466881.5329281723
303,1061032.1138739993
304,531510.3293327469
305,752353.2033265793
306,1014831.5818329483
307,753940.7371064097
308,599085.3190465795
309,593162.4913502183
310,873155.6958659294
311,406242.7629354271
312,832990.7243710265
313,833735.0710203685
314,851359.128853089
315,1553422.3561597993
316,1021142.8697088853
317,914127.0397173099
318,491000.9823838557
319,700081.2484481196
320,451726.089594446
321,561078.1022321604
322,220112.22998494052
323,281391.7012819878
324,584255.2623083554
325,257503.9388391971
326,522244.130739375
327,802461.8776916564
328,458105.29657257936
329,1204021.9475440742
330,859479.7174445024
331,504566.2187164645
332,449783.3247968714
333,2322792.0043843836
334,559667.7726306062
335,529247.9581679706
336,781090.5512494661
337,845005.2261760193
338,1016644.2870324819
339,424664.91597243247
340,346086.653760741
341,1235787.6300796657
342,666651.2622137631
343,451061.614651039
